# DistrPoint:Pointing with distractors
# MT:Movement time
# HIT:Success
# inPractice:practice block
# A:Target Amplitude
# W:Target Width
# D:Distractor Density
# HitDistractor:Press on a distractor
# HitBG:Press on background
# Mouse.x:
# Mouse.y:
# Mouse.Left:
# Date: 2013-03-22-11-33-24
# Participant: S0
block	trial	MT	HIT	inPractice	A	W	D	HitDistractor	HitBG	Mouse.x	Mouse.y	Mouse.Left	
Integer	String	String	Integer	Integer	String	Integer	Integer	Integer	Integer	Integer	
1	5	871	null	true	400	20	low	0	0	838.0	721.0	0.0
1	5	911	null	true	400	20	low	0	0	838.0	723.0	0.0
1	6	0	null	true	400	20	low	0	0	838.0	723.0	1.0
1	6	79	null	true	400	20	low	0	0	838.0	723.0	0.0
1	6	95	null	true	400	20	low	0	0	839.0	722.0	0.0
1	6	103	null	true	400	20	low	0	0	841.0	719.0	0.0
1	6	111	null	true	400	20	low	0	0	842.0	716.0	0.0
1	6	119	null	true	400	20	low	0	0	848.0	706.0	0.0
1	6	127	null	true	400	20	low	0	0	856.0	694.0	0.0
1	6	135	null	true	400	20	low	0	0	861.0	687.0	0.0
1	6	143	null	true	400	20	low	0	0	872.0	668.0	0.0
1	6	151	null	true	400	20	low	0	0	883.0	649.0	0.0
1	6	159	null	true	400	20	low	0	0	896.0	624.0	0.0
1	6	167	null	true	400	20	low	0	0	909.0	599.0	0.0
1	6	175	null	true	400	20	low	0	0	914.0	582.0	0.0
1	6	183	null	true	400	20	low	0	0	921.0	557.0	0.0
1	6	191	null	true	400	20	low	0	0	928.0	530.0	0.0
1	6	199	null	true	400	20	low	0	0	930.0	505.0	0.0
1	6	207	null	true	400	20	low	0	0	932.0	488.0	0.0
1	6	215	null	true	400	20	low	0	0	932.0	459.0	0.0
1	6	223	null	true	400	20	low	0	0	934.0	434.0	0.0
1	6	231	null	true	400	20	low	0	0	936.0	415.0	0.0
1	6	239	null	true	400	20	low	0	0	936.0	408.0	0.0
1	6	247	null	true	400	20	low	0	0	938.0	404.0	0.0
1	6	263	null	true	400	20	low	0	0	939.0	403.0	0.0
1	6	271	null	true	400	20	low	0	0	940.0	402.0	0.0
1	6	279	null	true	400	20	low	0	0	941.0	401.0	0.0
1	6	295	null	true	400	20	low	0	0	943.0	400.0	0.0
1	6	311	null	true	400	20	low	0	0	945.0	398.0	0.0
1	6	327	null	true	400	20	low	0	0	947.0	397.0	0.0
1	6	383	null	true	400	20	low	0	0	949.0	397.0	0.0
1	6	391	null	true	400	20	low	0	0	950.0	398.0	0.0
1	6	399	null	true	400	20	low	0	0	951.0	399.0	0.0
1	6	407	null	true	400	20	low	0	0	953.0	399.0	0.0
1	6	415	null	true	400	20	low	0	0	957.0	399.0	0.0
1	6	423	null	true	400	20	low	0	0	959.0	399.0	0.0
1	6	431	null	true	400	20	low	0	0	961.0	399.0	0.0
1	6	439	null	true	400	20	low	0	0	963.0	399.0	0.0
1	6	447	null	true	400	20	low	0	0	965.0	399.0	0.0
1	6	455	null	true	400	20	low	0	0	967.0	399.0	0.0
1	6	463	null	true	400	20	low	0	0	969.0	399.0	0.0
1	6	471	null	true	400	20	low	0	0	971.0	399.0	0.0
1	6	479	null	true	400	20	low	0	0	973.0	399.0	0.0
1	6	487	null	true	400	20	low	0	0	977.0	398.0	0.0
1	6	495	null	true	400	20	low	0	0	979.0	397.0	0.0
1	6	503	null	true	400	20	low	0	0	981.0	397.0	0.0
1	6	551	null	true	400	20	low	0	0	982.0	397.0	0.0
1	6	559	null	true	400	20	low	0	0	983.0	396.0	0.0
1	6	575	null	true	400	20	low	0	0	985.0	395.0	0.0
1	6	583	null	true	400	20	low	0	0	986.0	394.0	0.0
1	6	607	null	true	400	20	low	0	0	986.0	392.0	0.0
1	6	687	null	true	400	20	low	0	0	986.0	390.0	0.0
1	6	695	null	true	400	20	low	0	0	986.0	388.0	0.0
1	6	711	null	true	400	20	low	0	0	986.0	386.0	0.0
1	7	0	null	true	400	20	low	0	0	986.0	386.0	1.0
1	7	119	null	true	400	20	low	0	0	986.0	386.0	0.0
1	7	159	null	true	400	20	low	0	0	985.0	388.0	0.0
1	7	167	null	true	400	20	low	0	0	984.0	390.0	0.0
1	7	175	null	true	400	20	low	0	0	983.0	391.0	0.0
1	7	183	null	true	400	20	low	0	0	978.0	395.0	0.0
1	7	191	null	true	400	20	low	0	0	973.0	396.0	0.0
1	7	199	null	true	400	20	low	0	0	964.0	404.0	0.0
1	7	207	null	true	400	20	low	0	0	952.0	418.0	0.0
1	7	215	null	true	400	20	low	0	0	937.0	435.0	0.0
1	7	223	null	true	400	20	low	0	0	926.0	444.0	0.0
1	7	231	null	true	400	20	low	0	0	907.0	457.0	0.0
1	7	239	null	true	400	20	low	0	0	888.0	470.0	0.0
1	7	247	null	true	400	20	low	0	0	873.0	487.0	0.0
1	7	255	null	true	400	20	low	0	0	866.0	496.0	0.0
1	7	263	null	true	400	20	low	0	0	857.0	509.0	0.0
1	7	271	null	true	400	20	low	0	0	850.0	522.0	0.0
1	7	279	null	true	400	20	low	0	0	845.0	531.0	0.0
1	7	287	null	true	400	20	low	0	0	845.0	536.0	0.0
1	7	295	null	true	400	20	low	0	0	842.0	546.0	0.0
1	7	303	null	true	400	20	low	0	0	840.0	558.0	0.0
1	7	311	null	true	400	20	low	0	0	831.0	575.0	0.0
1	7	319	null	true	400	20	low	0	0	824.0	588.0	0.0
1	7	327	null	true	400	20	low	0	0	809.0	611.0	0.0
1	7	335	null	true	400	20	low	0	0	788.0	638.0	0.0
1	7	343	null	true	400	20	low	0	0	771.0	665.0	0.0
1	7	351	null	true	400	20	low	0	0	756.0	690.0	0.0
1	7	359	null	true	400	20	low	0	0	747.0	703.0	0.0
1	7	367	null	true	400	20	low	0	0	738.0	722.0	0.0
1	7	375	null	true	400	20	low	0	0	729.0	731.0	0.0
1	7	383	null	true	400	20	low	0	0	722.0	733.0	0.0
1	7	415	null	true	400	20	low	0	0	720.0	735.0	0.0
1	7	431	null	true	400	20	low	0	0	720.0	733.0	0.0
1	7	439	null	true	400	20	low	0	0	721.0	731.0	0.0
1	7	447	null	true	400	20	low	0	0	722.0	729.0	0.0
1	7	455	null	true	400	20	low	0	0	723.0	724.0	0.0
1	7	463	null	true	400	20	low	0	0	724.0	721.0	0.0
1	7	471	null	true	400	20	low	0	0	726.0	711.0	0.0
1	7	479	null	true	400	20	low	0	0	727.0	700.0	0.0
1	7	487	null	true	400	20	low	0	0	727.0	688.0	0.0
1	7	495	null	true	400	20	low	0	0	729.0	682.0	0.0
1	7	503	null	true	400	20	low	0	0	731.0	676.0	0.0
1	7	511	null	true	400	20	low	0	0	731.0	672.0	0.0
1	7	519	null	true	400	20	low	0	0	732.0	670.0	0.0
1	7	527	null	true	400	20	low	0	0	734.0	669.0	0.0
1	7	543	null	true	400	20	low	0	0	736.0	669.0	0.0
1	7	551	null	true	400	20	low	0	0	737.0	668.0	0.0
1	7	559	null	true	400	20	low	0	0	738.0	667.0	0.0
1	7	567	null	true	400	20	low	0	0	739.0	666.0	0.0
1	7	575	null	true	400	20	low	0	0	739.0	664.0	0.0
1	7	583	null	true	400	20	low	0	0	739.0	662.0	0.0
1	7	591	null	true	400	20	low	0	0	738.0	660.0	0.0
1	7	599	null	true	400	20	low	0	0	736.0	657.0	0.0
1	7	607	null	true	400	20	low	0	0	735.0	656.0	0.0
1	7	615	null	true	400	20	low	0	0	734.0	655.0	0.0
1	7	623	null	true	400	20	low	0	0	733.0	654.0	0.0
1	7	631	null	true	400	20	low	0	0	732.0	653.0	0.0
1	7	639	null	true	400	20	low	0	0	730.0	653.0	0.0
1	7	647	null	true	400	20	low	0	0	728.0	653.0	0.0
1	7	655	null	true	400	20	low	0	0	726.0	653.0	0.0
1	7	663	null	true	400	20	low	0	0	724.0	653.0	0.0
1	7	671	null	true	400	20	low	0	0	720.0	653.0	0.0
1	7	679	null	true	400	20	low	0	0	716.0	653.0	0.0
1	7	687	null	true	400	20	low	0	0	713.0	654.0	0.0
